toCheck img name: toCheck_100037_00908s_BUZ_05_OFF.png, ref img text: 5, toCheck img text: 0, is same text: False
toCheck img name: toCheck_100038_00226s_BUZ_05_OFF.png, ref img text: 5, toCheck img text: 0, is same text: False
toCheck img name: toCheck_100041_02103s_BUZ_07_OFF.png, ref img text: , toCheck img text: 5, is same text: False
toCheck img name: toCheck_100041_03995s_BUZ_07_OFF.png, ref img text: , toCheck img text: 5, is same text: False
toCheck img name: toCheck_100101_00216s_BUZ_05_OFF.png, ref img text: 5, toCheck img text: 0, is same text: False
toCheck img name: toCheck_100009_00386s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: , is same text: False
toCheck img name: toCheck_100009_00696s_BUZ_08_ON.png, ref img text: , toCheck img text: 0, is same text: False
toCheck img name: toCheck_100015_00233s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 14, is same text: False
toCheck img name: toCheck_100016_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100038_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 4, is same text: False
toCheck img name: toCheck_100039_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 4, is same text: False
toCheck img name: toCheck_100066_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 6, is same text: False
toCheck img name: toCheck_100079_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100111_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 2, is same text: False
toCheck img name: toCheck_100127_00523s_BUZ_4_ON.png, ref img text: 4, toCheck img text: 0, is same text: False
toCheck img name: toCheck_100127_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 4, is same text: False
toCheck img name: toCheck_100128_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100093_01526s_BUZ_08_OFF.png, ref img text: , toCheck img text: 0, is same text: False
toCheck img name: toCheck_100121_01526s_BUZ_08_OFF.png, ref img text: , toCheck img text: 0, is same text: False
toCheck img name: toCheck_100137_01526s_BUZ_08_OFF.png, ref img text: , toCheck img text: 0, is same text: False
toCheck img name: toCheck_100156_01553s_BUZ_08_OFF.png, ref img text: , toCheck img text: 0, is same text: False
toCheck img name: toCheck_100024_00542s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
