Ref Image,Check Image,Image Size,Size Group,CLIP Mismatch %,Max Segment Mismatch %,All Segment Mismatch %,Scale Mismatch %,Status
FULL_ALTIA_WAKEUP_10702_1.png,toCheck_100000_00279s_FULL_ALTIA_WAKEUP_10702_1.png,1376640,Big,0.0,0.1,"[0.02, 0.0, -0.05, 0.0, 0.02, 0.0, 0.0, 0.0, 0.1, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.02, -0.05, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.02, 0.0, 0.02, -0.05, -0.05, -0.05, 0.0, 0.02, 0.0]",0.0,OK
FULL_ALTIA_WAKEUP_10702_1.png,toCheck_100001_00220s_FULL_ALTIA_WAKEUP_10702_1.png,1376640,Big,0.0,0.1,"[0.02, 0.0, -0.05, 0.0, 0.02, 0.0, 0.0, 0.0, 0.1, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.02, -0.05, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.02, 0.0, 0.02, -0.05, -0.05, -0.05, 0.0, 0.02, 0.0]",0.0,OK
FULL_ALTIA_WAKEUP_10702_1.png,toCheck_100002_00394s_FULL_ALTIA_WAKEUP_10702_1.png,1376640,Big,0.0,0.1,"[0.02, 0.0, -0.05, 0.0, 0.02, 0.0, 0.0, 0.0, 0.1, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.02, -0.05, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.02, 0.0, 0.02, -0.05, -0.05, -0.05, 0.0, 0.02, 0.0]",0.0,OK
FULL_ALTIA_WAKEUP_10702_1.png,toCheck_100003_00394s_FULL_ALTIA_WAKEUP_10702_1.png,1376640,Big,0.0,0.1,"[0.02, 0.0, -0.05, 0.0, 0.02, 0.0, 0.0, 0.0, 0.1, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.02, -0.05, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.02, 0.0, 0.02, -0.05, -0.05, -0.05, 0.0, 0.02, 0.0]",0.0,OK
TLT_ABS_ON.png,toCheck_100004_00163s_TLT_ABS_ON.png,NA,NA,NA,0.1,"[0.02, 0.0, -0.05, 0.0, 0.02, 0.0, 0.0, 0.0, 0.1, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.02, -0.05, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.02, 0.0, 0.02, -0.05, -0.05, -0.05, 0.0, 0.02, 0.0]",12.55,Faulty
TLT_ABS_OFF.png,toCheck_100004_00164s_TLT_ABS_OFF.png,NA,NA,NA,0.1,"[0.02, 0.0, -0.05, 0.0, 0.02, 0.0, 0.0, 0.0, 0.1, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.02, -0.05, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.02, 0.0, 0.02, -0.05, -0.05, -0.05, 0.0, 0.02, 0.0]",12.55,Faulty
TLT_ABS_ON.png,toCheck_100004_00165s_TLT_ABS_ON.png,NA,NA,NA,0.1,"[0.02, 0.0, -0.05, 0.0, 0.02, 0.0, 0.0, 0.0, 0.1, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.02, -0.05, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.02, 0.0, 0.02, -0.05, -0.05, -0.05, 0.0, 0.02, 0.0]",12.55,Faulty
TLT_ABS_OFF.png,toCheck_100004_00166s_TLT_ABS_OFF.png,NA,NA,NA,0.1,"[0.02, 0.0, -0.05, 0.0, 0.02, 0.0, 0.0, 0.0, 0.1, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.02, -0.05, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.02, 0.0, 0.02, -0.05, -0.05, -0.05, 0.0, 0.02, 0.0]",12.55,Faulty
TLT_ABS_ON.png,toCheck_100005_00163s_TLT_ABS_ON.png,NA,NA,NA,0.1,"[0.02, 0.0, -0.05, 0.0, 0.02, 0.0, 0.0, 0.0, 0.1, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.02, -0.05, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.02, 0.0, 0.02, -0.05, -0.05, -0.05, 0.0, 0.02, 0.0]",12.55,Faulty
TLT_ABS_OFF.png,toCheck_100005_00165s_TLT_ABS_OFF.png,NA,NA,NA,0.1,"[0.02, 0.0, -0.05, 0.0, 0.02, 0.0, 0.0, 0.0, 0.1, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.0, 0.0, 0.02, -0.05, 0.0, 0.0, 0.0, 0.0, -0.05, 0.0, 0.02, 0.0, 0.02, -0.05, -0.05, -0.05, 0.0, 0.02, 0.0]",12.55,Faulty
