Ref Image,Check Image,Image Size,Size Group,CLIP Mismatch %,Max Segment Mismatch %,All Segment Mismatch %,Scale Mismatch %,Status
NO_ALERT.png,toCheck_100000_00387s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100001_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100001_00382s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100001_00414s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100002_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100002_00383s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100002_00415s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100003_00658s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100003_00670s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100003_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100003_00392s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100003_00405s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100003_00418s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100003_00431s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100003_00444s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100003_00456s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100004_01798s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100004_02000s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100004_02202s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100004_02404s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100004_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100004_00582s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100004_00785s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100004_00988s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100004_01191s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100004_01394s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100004_01596s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100005_00657s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100005_00669s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100005_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100005_00391s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100005_00404s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100005_00417s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100005_00430s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100005_00443s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100005_00455s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100007_02485s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100007_02687s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100007_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100008_00387s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100009_01797s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100009_01999s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100009_02201s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100009_02403s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100009_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100009_00581s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100009_00784s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100009_00987s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100009_01190s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100009_01393s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100009_01595s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100010_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100010_00391s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100010_00404s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100010_00596s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100010_00639s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100010_00842s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100010_01044s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100011_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100012_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100012_00391s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100012_00404s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100012_00847s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100012_00860s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100013_03796s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100013_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100013_00581s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100013_00784s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100013_00986s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100013_01189s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100013_01391s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100013_03594s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100014_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100014_00391s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100014_00404s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100014_00596s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100014_00669s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100014_00872s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100014_01474s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100015_00562s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100015_00359s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
NO_ALERT.png,toCheck_100015_00401s_NO_ALERT.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_33_OFF.png,toCheck_100049_00476s_BUZ_33_OFF.png,50x48,Very Small,4.37,4.39,"[0.66, 0.76, 0.29, 0.05, 2.22, 2.34, 4.39, 0.07, 1.46, 4.13, 0.1, 0.29]",0.0,NOK
BUZ_34_OFF.png,toCheck_100049_00550s_BUZ_34_OFF.png,50x48,Very Small,4.44,4.59,"[0.63, 0.66, 0.54, 0.05, 2.12, 3.32, 4.59, 0.05, 1.42, 1.81, 1.17, 0.39]",0.0,NOK
BUZ_45_OFF.png,toCheck_100049_00625s_BUZ_45_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_45_OFF.png,toCheck_100049_00679s_BUZ_45_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_13_OFF.png,toCheck_100049_00252s_BUZ_13_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_14_OFF.png,toCheck_100049_00327s_BUZ_14_OFF.png,50x48,Very Small,1.03,4.44,"[0.02, 0.24, 0.51, 0.05, 0.17, 1.27, 4.44, 0.07, 0.02, 1.81, 1.15, 0.46]",0.0,NOK
BUZ_25_OFF.png,toCheck_100049_00401s_BUZ_25_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_23_OFF.png,toCheck_100050_00961s_BUZ_23_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_26_OFF.png,toCheck_100050_01035s_BUZ_26_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_32_OFF.png,toCheck_100050_01525s_BUZ_32_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_08_OFF.png,toCheck_100050_00242s_BUZ_08_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_09_OFF.png,toCheck_100050_00812s_BUZ_09_OFF.png,50x48,Very Small,3.37,4.52,"[0.2, 0.83, 0.76, 0.22, 1.39, 4.52, 3.05, 0.12, 0.2, 2.05, 1.66, 1.49]",0.0,NOK
BUZ_10_OFF.png,toCheck_100050_00886s_BUZ_10_OFF.png,50x48,Very Small,1.88,1.68,"[0.05, 0.07, 0.2, 0.02, 0.05, 1.34, 1.68, 0.07, 0.05, 0.1, 0.07, 0.15]",0.0,NOK
BUZ_04_OFF.png,toCheck_100051_00466s_BUZ_04_OFF.png,50x48,Very Small,3.88,4.05,"[0.32, 0.29, 0.81, 0.42, 1.42, 3.93, 3.78, 0.15, 0.17, 2.05, 4.05, 1.05]",0.0,NOK
BUZ_06_OFF.png,toCheck_100051_00540s_BUZ_06_OFF.png,50x48,Very Small,3.83,4.81,"[0.2, 0.66, 0.68, 0.22, 1.56, 4.81, 2.76, 0.12, 0.07, 2.29, 1.32, 0.9]",0.0,NOK
BUZ_18_OFF.png,toCheck_100051_00615s_BUZ_18_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_22_OFF.png,toCheck_100051_00724s_BUZ_22_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_24_OFF.png,toCheck_100051_00949s_BUZ_24_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_01_OFF.png,toCheck_100051_00242s_BUZ_01_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_12_OFF.png,toCheck_100051_00317s_BUZ_12_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_02_OFF.png,toCheck_100051_00391s_BUZ_02_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
BUZ_17_OFF.png,toCheck_100052_00242s_BUZ_17_OFF.png,NA,NA,NA,NA,NA,NA,Faulty
